date,narration,bill_no,value_date,dr,cr,net,holding,p&l,col_9,col_10
2026-06-24,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-06-23,9889920.53,0.0,-9889919.53,9768098,-121821.53,9802604.88,87315.65
2026-06-25,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-06-24,0.0,0.0,-9889919.53,9783016,-106903.53,,
2026-06-29,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-06-25,0.0,0.0,-9889919.53,9673374,-216545.53,,
2026-06-30,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-06-29,0.0,0.0,-9889919.53,9671431,-218488.53,,
2026-07-01,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-06-30,0.0,0.0,-9889919.53,9679243,-210676.53,,
2026-07-02,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-07-01,0.0,0.0,-9889919.53,9632892,-257027.53,,
2026-07-03,Settlement Posting-NG6116,DLV2-2406-NG6116/HPC39_10,2026-07-02,0.0,0.0,-9889919.53,9747834,-142085.53,,
2026-07-06,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-03,,72037.45,-9817882.08,9697125,-120757.08,,
2026-07-07,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-06,0.0,0.0,-9817882.08,9738560,-79322.08,,
2026-07-08,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-07,0.0,0.0,-9817882.08,9623825,-194057.08,,
2026-07-09,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-08,0.0,0.0,-9817882.08,9442653,-375229.08,,
2026-07-10,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-09,0.0,0.0,-9817882.08,9541137,-276745.08,,
2026-07-13,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-10,0.0,0.0,-9817882.08,9681593,-136289.08,,
2026-07-14,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-13,0.0,0.0,-9817882.08,9662193,-155689.08,,
2026-07-15,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-14,0.0,0.0,-9817882.08,9625120,-192762.08,,
2026-07-16,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-15,0.0,0.0,-9817882.08,9630386,-187496.08,,
2026-07-17,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-16,0.0,0.0,-9817882.08,9586828,-231054.08,,
2026-07-20,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-17,0.0,0.0,-9817882.08,9533424,-284458.08,,
2026-07-21,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-20,0.0,0.0,-9817882.08,9651364,-166518.08,,
2026-07-22,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-21,0.0,0.0,-9817882.08,9714568,-103314.08,,
2026-07-23,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-22,0.0,0.0,-9817882.08,9549968,-267914.08,,
2026-07-24,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-23,0.0,0.0,-9817882.08,9531977,-285905.08,,
2026-07-27,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-24,0.0,0.0,-9817882.08,9474452,-343430.08,,
2026-07-28,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-27,0.0,0.0,-9817882.08,9587960,-229922.08,,
2026-07-29,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-28,0.0,0.0,-9817882.08,9540030,-277852.08,,
2026-07-30,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-29,0.0,0.0,-9817882.08,9691116,-126766.08,,
2026-07-31,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-30,0.0,0.0,-9817882.08,9714781,-103101.08,,
2026-08-03,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-07-31,0.0,0.0,-9817882.08,9770443,-47439.08,,
2026-08-04,Settlement Posting-NG6123,DLV3-0607-NG6123/HPC39_10,2026-08-03,0.0,0.0,-9817882.08,9900531,82648.92,,
